Channel Title,Channel Username,ID,Message,Date,Media Path
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3320,"⏰ Automation : Silent mode disabled
Users can now post in groups 👌",2024-09-29 01:30:13+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3319,"⏰ Automation : Silent mode enabled
Users can not post to group until Ending of silence mode 😴",2024-09-28 21:30:05+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3313,"⏰ Automation : Silent mode disabled
Users can now post in groups 👌",2024-09-28 01:30:13+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3312,"⏰ Automation : Silent mode enabled
Users can not post to group until Ending of silence mode 😴",2024-09-27 21:30:05+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3308,"⏰ Automation : Silent mode disabled
Users can now post in groups 👌",2024-09-27 01:30:14+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3307,"⏰ Automation : Silent mode enabled
Users can not post to group until Ending of silence mode 😴",2024-09-26 21:30:05+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3303,"⏰ Automation : Silent mode disabled
Users can now post in groups 👌",2024-09-26 01:30:13+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3302,"⏰ Automation : Silent mode enabled
Users can not post to group until Ending of silence mode 😴",2024-09-25 21:30:05+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3296,"⏰ Automation : Silent mode disabled
Users can now post in groups 👌",2024-09-25 01:30:14+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3295,"⏰ Automation : Silent mode enabled
Users can not post to group until Ending of silence mode 😴",2024-09-24 21:30:05+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3286,"⏰ Automation : Silent mode disabled
Users can now post in groups 👌",2024-09-24 01:30:12+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3285,"⏰ Automation : Silent mode enabled
Users can not post to group until Ending of silence mode 😴",2024-09-23 21:30:04+00:00,
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3083,,2024-08-26 15:42:05+00:00,photos\@ethiopianalibabaonline1_3083.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3082,,2024-08-26 15:42:05+00:00,photos\@ethiopianalibabaonline1_3082.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3081,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3081.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3080,"BLAZER MID VICTORY #000186
     
📌Master Quality 

📌MADE  in  VIETNAM 

📌size 40, 41, 42, 43

📌Color black : White

                         ዋጋ፦ ✅
   
                    ያላቹበት ቦታ በነፃ

           📌ለመግዛት/ ስለ እቃው ለማወቅ
ቴሌግራም- @Ethiopianalibabaonline
Whatsapp-+251991776927  
SMS- +251991776927 በማንኛውም ሰኣት",2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3080.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3079,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3079.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3078,"Samsung Galaxy A71 #000185

📌Internal storage:128gb

📌RAM:8gb

📌Dual sim
 
                         ዋጋ፦ ✅
   
                    ያላቹበት ቦታ በነፃ

           📌ለመግዛት/ ስለ እቃው ለማወቅ
ቴሌግራም- @Ethiopianalibabaonline
Whatsapp-+251991776927  
SMS- +251991776927 በማንኛውም ሰኣት

#phone #Samsung",2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3078.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3077,"SAMSUNG GALAXY M13  #000184

📌STORAGE 128GB

📌RAM 6GB

📌FINGER PRINT

📌FACE LOCK

                         ዋጋ፦ ✅
   
                    ያላቹበት ቦታ በነፃ

           📌ለመግዛት/ ስለ እቃው ለማወቅ
ቴሌግራም- @Ethiopianalibabaonline
Whatsapp-+251991776927  
SMS- +251991776927 በማንኛውም ሰኣት

#phone #Samsung",2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3077.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3076,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3076.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3075,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3075.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3074,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3074.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3073,"Samsung Tab S8 Ultra(256GB) #000180

📌 Screen size: Inch 14.3“

📌 Main camera: Dual 13 MP, 6 MP

📌 Selifi camera: Dual 12 MP , 12MP

📌 Capacity: 256 GB 

📌 Ram: 12 GB 

📌 Battery: 11200 mAh🥶


                        ዋጋ፦ ✅
   
                    ያላቹበት ቦታ በነፃ

           📌ለመግዛት/ ስለ እቃው ለማወቅ
ቴሌግራም- @Ethiopianalibabaonline
Whatsapp-+251991776927  
SMS- +251991776927 በማንኛውም ሰኣት

#phone #Samsung",2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3073.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3072,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3072.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3071,"Iphone 12 pro 128Gb 🥇 #000179

📌 Brand New 

📌 Color - Grey

📌 Storage -  128gb

📌 Battery Health - 100%

                      ዋጋ፦ 58,500🇪🇹

                     Price - 561.4🇺🇸
   
                    ያላቹበት ቦታ በነፃ

           📌ለመግዛት/ ስለ እቃው ለማወቅ
ቴሌግራም- @Ethiopianalibabaonline
Whatsapp-+251991776927  
SMS- +251991776927 በማንኛውም ሰኣት

#iphone

   
   ",2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3071.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3070,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3070.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3069,"Baby soft sole sock shoes 🥇 #000178

📌walking shoes for first walkers
📌ሲሊከን የልጆች ጫማ ማለማመጃ
📌ልጆች በቀላሉ የማያወልቁት
📌የራሱ ካሊሢ መሰል ጫማ( Like balencia)

         
                       ዋጋ፦ 1000🇪🇹
   
                    ያላቹበት ቦታ በነፃ

           📌ለመግዛት/ ስለ እቃው ለማወቅ
ቴሌግራም- @Ethiopianalibabaonline
Whatsapp-+251991776927  
SMS- +251991776927 በማንኛውም ሰኣት
   
   ",2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3069.jpg
Ethiopian🇪🇹alibaba🇻🇳 Online Market,@ethiopianalibabaonline1,3068,,2024-08-26 15:42:03+00:00,photos\@ethiopianalibabaonline1_3068.jpg
